startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q_recaptchascore,consent,ready_quiz1,quiz1_1,quiz1_2,quiz1_3,allocation_luck,ready_quiz2,quiz2_1,quiz2_2,quiz2_3,allocation_merit,ready_quiz3,quiz3_1,quiz3_2,quiz3_3,allocation_educ,ready_quiz4,quiz4_1,quiz4_2,quiz4_3,tickYN_educ,tickYN_educ_firstClick,tickYN_educ_lastClick,q91_pagesubmit,tickYN_educ_tick_count,tick241_educ,allocation_info_educ_NoTick,allocation_info_educ_YesTick,ready_quiz5,quiz5_1,quiz5_2,quiz5_3,allocation_employ,ready_quiz6,quiz6_1,quiz6_2,quiz6_3,tickYN_employ,tickYN_employ_firstClick,tickYN_employ_lastClick,q151_pagesubmit,tickYN_employ_tick_count,tick241_employ,allocation_info_employ_NoTick,allocation_info_employ_YesTick,survey_fair1,survey_reason_text,q182_4_text,q182_7_text,male,age,edu,income,party,q187_6_text,attitude,englishNative,q189_2_text,followup,mTurkID,sc0,sc1,confirmation_code,scoreopportunity,scoreemployment,passQuiz
2022-01-25 18:12:54,2022-01-25 18:17:02,IP Address,71.255.250.32,100,248,True,2022-01-25 18:17:03,R_AHXzDLRiW7kYz7P,,,,,39.1360931396484375,-77.28240203857421875,anonymous,EN,1,I agree,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money because of another motive (please specify),,"I redistributed the money on the basis of what the workers were told when they were recruited, which was that their compensation would not depend on their performance.",Male,40 to 49,graduated from a 4 year college,I prefer not to answer,Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A1F1X57CUVKKLP,0,0,45990,,,
2022-01-25 18:15:19,2022-01-25 18:17:08,IP Address,172.250.114.178,100,109,True,2022-01-25 18:17:09,R_2CxfFoNsW8CwSAl,,,,,33.9893035888671875,-118.0890045166015625,anonymous,EN,0.89999997615814208984375,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 6 USD and worker B is paid 0 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very unfair,I did not redistribute because I believe the original rules of the reward scheme between the two workers should be followed.,,,Male,23 to 29,graduated from a 4 year college,"$0 to $15,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,AQRKP48O0WKBW,0,0,97040,,,
2022-01-25 18:13:57,2022-01-25 18:17:22,IP Address,104.182.73.53,100,205,True,2022-01-25 18:17:23,R_3s7xVNPRw9H71eR,,,,,38.7987060546875,-90.5034027099609375,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,60 to 69,graduated from a 4 year college,"$100,001 to $130,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,APVZGZM1RA3AZ,0,0,21840,,,
2022-01-25 18:15:32,2022-01-25 18:17:33,IP Address,107.115.153.47,100,120,True,2022-01-25 18:17:34,R_10rpLnZIPaNlBYm,,,,,29.9640960693359375,-95.49680328369140625,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,28041,,,
2022-01-25 18:13:32,2022-01-25 18:17:34,IP Address,67.173.7.192,100,242,True,2022-01-25 18:17:35,R_3PEHGCfDIfF68RR,,,,,41.5946044921875,-87.59420013427734375,anonymous,EN,0.800000011920928955078125,I agree,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 6 USD and worker B is paid 0 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fair,I did not redistribute because I believe the original rules of the reward scheme between the two workers was fair.,,,Female,30 to 39,graduated from a 4 year college,"$30,001 to $50,000",Republican,,The amount of inequality in society is very unacceptable.,Yes,,Yes,APU5AAZWI18EY,0,0,88115,,,
2022-01-25 18:12:25,2022-01-25 18:17:37,IP Address,75.3.92.116,100,311,True,2022-01-25 18:17:37,R_3PESktfzKWWAnAF,,,,,33.3943939208984375,-84.7082977294921875,anonymous,EN,1,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 4 USD and worker B is paid 2 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very unfair,I redistributed the money because of another motive (please specify),,they went into the assignment thinking they would get 2$ reguardless of how they do. So it is only fair that each of them get at least 2$ that was promised.,Female,23 to 29,graduated from a 4 year college,"$50,001 to $70,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,ANUG85D54C8ZX,0,0,77189,,,
2022-01-25 18:12:56,2022-01-25 18:17:45,IP Address,184.170.241.105,100,288,True,2022-01-25 18:17:45,R_5ceC6v82BM84YAF,,,,,33.4412994384765625,-112.0420989990234375,anonymous,EN,1,I agree,,,,,,I am ready for the comprehension quiz.,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,85057,,,
2022-01-25 18:12:39,2022-01-25 18:17:46,IP Address,73.235.147.177,100,307,True,2022-01-25 18:17:47,R_1pLrE525gPXSKzr,,,,,36.7985992431640625,-119.810699462890625,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 4 USD and worker B is paid 2 USD.,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Male,30 to 39,some graduate school attended or higher,"$15,001 to $30,000",Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,ADFJOOSM3Q18G,0,0,99766,,,
2022-01-25 18:13:40,2022-01-25 18:17:51,IP Address,73.210.211.157,100,250,True,2022-01-25 18:17:51,R_rjt1P7g2r7VM45X,,,,,41.51019287109375,-87.7406005859375,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,Very unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Male,60 to 69,some graduate school attended or higher,"$50,001 to $70,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A11KD38SP95G4L,0,0,65010,,,
2022-01-25 18:13:16,2022-01-25 18:17:51,IP Address,50.53.140.127,100,275,True,2022-01-25 18:17:52,R_tF18kG1IK55drhv,,,,,45.445098876953125,-122.539703369140625,anonymous,EN,1,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,23229,,,
2022-01-25 18:12:37,2022-01-25 18:17:58,IP Address,173.17.251.104,100,320,True,2022-01-25 18:17:58,R_Ryt5yoiDo40YHaV,,,,,41.6244049072265625,-93.669403076171875,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Go to the 3-digit code task to try to learn the information,3.993,86.999,91.518,33,"241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241",,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,23 to 29,some graduate school attended or higher,"$30,001 to $50,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A2AMAU5O7O3AWX,32,0,56605,32,,
2022-01-25 18:12:14,2022-01-25 18:18:02,IP Address,24.15.166.91,100,347,True,2022-01-25 18:18:02,R_3L0Tl4bZvi3favr,,,,,41.5635986328125,-88.2156982421875,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 4 USD and worker B is paid 2 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Male,40 to 49,graduated from a 4 year college,"$30,001 to $50,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A32VLTWRJ1EP5T,0,0,12062,,,
2022-01-25 18:13:58,2022-01-25 18:18:05,IP Address,45.29.201.146,100,246,True,2022-01-25 18:18:05,R_tXJCbKFqf98MiY1,,,,,37.3256988525390625,-120.49990081787109375,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Go directly to the page about the redistribution decision,,,,,,Worker A is paid 6 USD and worker B is paid 0 USD.,,Very fair,I did not redistribute because I believe the original rules of the reward scheme between the two workers was fair.,,,Female,23 to 29,graduated from a 4 year college,"$15,001 to $30,000",Democrat,,The amount of inequality in society is very reasonable.,Yes,,Yes,A3MJSRPH6X7RJ,0,0,62552,,0,
2022-01-25 18:16:02,2022-01-25 18:18:05,IP Address,96.33.1.172,100,123,True,2022-01-25 18:18:06,R_2gFxzrLDJGz6kYp,,,,,36.3339996337890625,-82.343902587890625,anonymous,EN,0.89999997615814208984375,I agree,,,,,,I am ready for the comprehension quiz.,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15781,,,
2022-01-25 18:14:18,2022-01-25 18:18:18,IP Address,76.208.34.223,100,239,True,2022-01-25 18:18:18,R_1iqGCJweKTxprJy,,,,,30.6551971435546875,-93.89640045166015625,anonymous,EN,1,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 4 USD and worker B is paid 2 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Male,40 to 49,"some college education, or 2 year college degree","$30,001 to $50,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A1WJIRT360P5VB,0,0,49827,,,
2022-01-25 18:12:25,2022-01-25 18:18:41,IP Address,104.34.43.65,100,376,True,2022-01-25 18:18:42,R_1C83HCnu11ASH8B,,,,,33.8625030517578125,-117.58599853515625,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Go directly to the page about the redistribution decision,,,,,,Worker A is paid 4 USD and worker B is paid 2 USD.,,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,40 to 49,"some college education, or 2 year college degree","$130,001 to $170,000",Republican,,The amount of inequality in society is moderately reasonable.,Yes,,Yes,A1SLTQXRMZBQSB,0,0,16299,0,,
2022-01-25 18:14:49,2022-01-25 18:18:48,IP Address,75.118.214.191,100,238,True,2022-01-25 18:18:48,R_3LhegYjPKIHGPPZ,,,,,40.0337066650390625,-83.13189697265625,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Go directly to the page about the redistribution decision,,,,,,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,,Fair,I redistributed the money based on what I believe is fair between the two workers.,,,Male,40 to 49,"some college education, or 2 year college degree","$30,001 to $50,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A1Q3FR553QG5G,0,0,93902,0,,
2022-01-25 18:15:56,2022-01-25 18:19:10,IP Address,173.20.179.10,100,194,True,2022-01-25 18:19:11,R_xbEJ9DEpH0PScHn,,,,,41.4499053955078125,-85.98919677734375,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,Very fair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,30 to 39,completed high school,"$30,001 to $50,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,AC46AX2ODIGWD,0,0,23883,,,
2022-01-25 18:15:41,2022-01-25 18:19:18,IP Address,162.193.143.229,100,216,True,2022-01-25 18:19:18,R_bkoKdjvKfwfMich,,,,,29.542205810546875,-95.321197509765625,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,96352,,,
2022-01-25 18:18:31,2022-01-25 18:19:21,IP Address,208.203.210.137,100,49,True,2022-01-25 18:19:21,R_10Uc87iwRs1A2wT,,,,,40.82049560546875,-73.91829681396484375,anonymous,EN,0.699999988079071044921875,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27928,,,
2022-01-25 18:16:03,2022-01-25 18:19:38,IP Address,98.27.223.183,100,214,True,2022-01-25 18:19:38,R_3HFdFJ3bm8PHcrS,,,,,41.921600341796875,-79.65799713134765625,anonymous,EN,0.800000011920928955078125,I agree,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,31226,,,
2022-01-25 18:11:46,2022-01-25 18:19:41,IP Address,73.123.129.93,100,474,True,2022-01-25 18:19:41,R_eRTPKWJ5pg5ckLf,,,,,42.96209716796875,-71.44899749755859375,anonymous,EN,1,I agree,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 5 USD and worker B is paid 1 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Male,50 to 59,completed high school,"$50,001 to $70,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A2JDMOIGD3AVAQ,0,0,35376,,,
2022-01-25 18:11:47,2022-01-25 18:19:43,IP Address,71.226.123.212,100,475,True,2022-01-25 18:19:43,R_110JcRjd8TT5F0a,,,,,32.412994384765625,-110.9420013427734375,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Go directly to the page about the redistribution decision,,,,,,Worker A is paid 5 USD and worker B is paid 1 USD.,,Fair,I redistributed the money based on what I believe is fair between the two workers.,,,Male,60 to 69,"some college education, or 2 year college degree","$70,001 to $100,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,AHZ7C7ETHYX3N,0,0,36617,,0,
2022-01-25 18:15:32,2022-01-25 18:19:54,IP Address,75.84.252.61,100,262,True,2022-01-25 18:19:55,R_2wn7Bj9rn6wGpIV,,,,,34.1056976318359375,-118.3285980224609375,anonymous,EN,1,I agree,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 2 USD and worker B is paid 4 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very fair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,23 to 29,graduated from a 4 year college,"$30,001 to $50,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,AZTQX7APEZXME,0,0,67131,,,
