startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q11,q41,q51,q61,q71,q81,q91,q111_firstclick,q111_lastclick,q111_pagesubmit,q111_clickcount,q121_firstclick,q121_lastclick,q121_pagesubmit,q121_clickcount,q123,q124,q125,q126,q127,q128,q129,q1210,q1211,q1212,q1213,q1214,q1215,q1216,q1217,q151_firstclick,q151_lastclick,q151_pagesubmit,q151_clickcount,q161_firstclick,q161_lastclick,q161_pagesubmit,q161_clickcount,q163,q164,q165,q166,q171_1,q171_2,q171_3,q171_4,q171_5,q172,q173,q174,q175,q176,q176_6_text,q177,q178,q178_2_text,q179,q1710,sc0,sc1,confirmation_code,fl_39_do,fl_7_do,fl_21_do,fl_16_do,batch
4/20/2022 9:01,4/20/2022 9:08,IP Address,173.184.189.66,100,403,TRUE,4/20/2022 9:08,R_1X4tlxlSC5VpRVT,,,,,36.6482,-90.8094,anonymous,ZH-S,I agree,,Jim is awarded a bonus of $400 and Bill is awarded a bonus of $200,,,,,0,0,77.372,0,4.68,74.335,75.457,16,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 1000,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,7,7,9,1,6,Male,30 to 39,graduated from a 4 year college,"$30,001 to $50,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,AZHVMA71023O6,14,0,62290,Vignette-RandomOpportunity,FL_11,,,1
4/20/2022 9:02,4/20/2022 9:08,IP Address,45.87.62.96,100,362,TRUE,4/20/2022 9:08,R_2cnEIJbKFl9H2Vy,,,,,32.8137,-96.8704,anonymous,ZH-S,I agree,,,,,At least 40% but below 60% of managers,,0,0,101.091,0,4.114,31.338,32.892,17,Trapping their prey,Help them seek mates,Insect repellent,Elastic stripes,Moss or other plants,More than 50,9 months,To attract a mate,The better part of a year,Through their skin,Underwater,Through their skin,Castings,"Rats, fish, hawks and spiders",1/3 its own body weight,,,,,,,,,,,,,5,7,7,6,7,Male,23 to 29,graduated from a 4 year college,"$30,001 to $50,000",Democrat,,The amount of inequality in society is moderately reasonable.,Yes,,Yes,A10M63DSIGIEDI,4,0,60090,Vignette-InfoOpportunity,FL_11,,,1
4/20/2022 9:01,4/20/2022 9:08,IP Address,208.218.229.197,100,420,TRUE,4/20/2022 9:08,R_3ealjZbWAfspj15,,,,,40.5175,-74.3991,anonymous,ZH-S,I agree,,,,,,At least 20% but below 40% of managers,1.715,1.715,2.767,1,34.241,296.89,298.048,42,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,7,6,7,5,8,Female,40 to 49,graduated from a 4 year college,"$70,001 to $100,000",Democrat,,The amount of inequality in society is very reasonable.,Yes,,Yes,A35DXVH9TPYZUE,15,0,93791,Vignette-InfoEmployment,FL_11,,,1
4/20/2022 9:00,4/20/2022 9:08,IP Address,70.39.102.165,100,483,TRUE,4/20/2022 9:08,R_3hyjr4GlPCvjYoM,,,,,37.751,-97.822,anonymous,ZH-S,I agree,,,,Jim is awarded a bonus of $300 and Bill is awarded a bonus of $300,,,20.374,20.374,21.794,1,16.843,188.077,190.387,25,Building tunnels in the soil,Help them grip the ground,Insect repellent,Tiny scales similar to those of a snake,Moss or other plants,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Pellets,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,6,7,4,6,4,Female,30 to 39,graduated from a 4 year college,"$100,001 to $130,000",Democrat,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,AGLALSJB6LVQV,11,0,45111,Vignette-RandomEmployment,FL_12,,,1
4/20/2022 9:02,4/20/2022 9:08,IP Address,24.242.246.102,100,400,TRUE,4/20/2022 9:08,R_RUqfSfzSh1G6U4p,,,,,33.1909,-96.6198,anonymous,ZH-S,I agree,,,,,Above 0 percent but below 20% of managers,,0,0,63.28,0,,,,,,,,,,,,,,,,,,,,,,,,10.667,25.076,26.786,4,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,9,8,0,2,9,Female,50 to 59,completed high school,"$0 to $15,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A2BEH9YQPHKP6A,0,4,39981,Vignette-InfoOpportunity,FL_14,,test-short,1
4/20/2022 9:02,4/20/2022 9:09,IP Address,35.133.17.222,100,404,TRUE,4/20/2022 9:09,R_2V3Lo60NIAeWfZF,,,,,46.1303,-112.9752,anonymous,ZH-S,I agree,,Jim is awarded a bonus of $600 and Bill is awarded a bonus of $0,,,,,0,0,58.429,0,5.75,84.931,86.602,16,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,9 months,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,6,4,7,5,4,Male,40 to 49,"some college education, or 2 year college degree","$0 to $15,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A1TMZLYXQAK8Q0,14,0,46912,Vignette-RandomOpportunity,FL_14,,test-long,1
4/20/2022 9:02,4/20/2022 9:09,IP Address,71.61.235.88,100,402,TRUE,4/20/2022 9:09,R_3RxxBqHatPS0mHo,,,,,41.0266,-80.3498,anonymous,ZH-S,I agree,,,,,,At least 40% but below 60% of managers,1.822,62.194,71.341,6,2.961,88.865,90.03,48,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their mouth,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,8,7,3,3,10,Female,23 to 29,"some college education, or 2 year college degree","$0 to $15,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A1Y0G46FEQBNQD,14,0,92990,Vignette-InfoEmployment,FL_11,,,1
4/20/2022 9:01,4/20/2022 9:09,IP Address,73.206.162.61,100,450,TRUE,4/20/2022 9:09,R_1dMEykd7ZX9eFb2,,,,,29.584,-95.0396,anonymous,ZH-S,I agree,Jim is awarded a bonus of $500 and Bill is awarded a bonus of $100,,,,,,,,,,2.834,111.361,114.619,37,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Micro-organisms,More than 100,9 months,To mark their territory,Weeks to months,Through their skin,Warm and wet,Through their bristles,Earthworm feces,"Moles, rats, fish and toads",Twice its own body weight,6.584,46.703,49.752,11,,,,,,,,,8,8,8,3,5,Female,30 to 39,"some college education, or 2 year college degree","$0 to $15,000",Democrat,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A3JD7QK8OYJNNA,9,0,68724,Vignette-MeritOpportunity,FL_13,tutorial-lowrelevance,,1
4/20/2022 9:03,4/20/2022 9:09,IP Address,174.208.43.113,100,356,TRUE,4/20/2022 9:09,R_Zk68dechKY8neFj,,,,,42.9436,-78.8369,anonymous,ZH-S,I agree,Jim is awarded a bonus of $600 and Bill is awarded a bonus of $0,,,,,,1.332,66.042,187.753,6,1.141,67.966,68.556,42,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,10,7,8,6,9,Male,23 to 29,completed high school,"$70,001 to $100,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A10T0161B70BXP,15,0,34117,Vignette-MeritOpportunity,FL_12,,,1
4/20/2022 9:02,4/20/2022 9:09,IP Address,45.16.65.157,100,441,TRUE,4/20/2022 9:09,R_1E6dALlhvGvI4Jx,,,,,37.1229,-93.4758,anonymous,ZH-S,I agree,,,,,,At least 60% but below 80% of managers,0,0,97.46,0,9.303,78.386,79.716,17,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,6,8,2,0,10,Female,40 to 49,"some college education, or 2 year college degree","$70,001 to $100,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,ASQBY0F5TZV5M,15,0,21584,Vignette-InfoEmployment,FL_12,,,1
4/20/2022 9:03,4/20/2022 9:09,IP Address,69.141.212.60,100,366,TRUE,4/20/2022 9:09,R_aW8ApHA2GaeoPyp,,,,,39.6659,-74.9658,anonymous,ZH-S,I agree,,,,Jim is awarded a bonus of $600 and Bill is awarded a bonus of $0,,,1.413,68.484,72.486,3,4.041,78.726,80.7,32,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,10,10,5,10,10,Male,23 to 29,graduated from a 4 year college,"$50,001 to $70,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A30WQVAO6L3RWJ,15,0,83072,Vignette-RandomEmployment,FL_11,,,1
4/20/2022 9:01,4/20/2022 9:09,IP Address,45.61.168.43,100,487,TRUE,4/20/2022 9:09,R_1gwDPemWRFiuELa,,,,,40.7876,-74.06,anonymous,ZH-S,I agree,,,,Jim is awarded a bonus of $300 and Bill is awarded a bonus of $300,,,4.983,25.119,52.338,21,3.023,310.182,311.425,28,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,The better part of a year,Through their nose,Cool and dry,Through their skin,Earthworm feces,"Toads, gophers, spiders and humans",1/3 its own body weight,,,,,,,,,,,,,6,8,5,6,7,Male,23 to 29,graduated from a 4 year college,"$70,001 to $100,000",Democrat,,The amount of inequality in society is moderately reasonable.,Yes,,Yes,A1FDFJCZ4B5N9S,10,0,53753,Vignette-RandomEmployment,FL_13,tutorial-highrelevance,,1
4/20/2022 9:01,4/20/2022 9:10,IP Address,45.143.146.148,100,536,TRUE,4/20/2022 9:10,R_1mfpjvOTv1pObJ1,,,,,39.018,-77.539,anonymous,ZH-S,I agree,,,,,At least 80% of managers,,0,0,68.986,0,41.656,293.29,300.018,20,Building tunnels in the soil,Help them seek mates,Fertilizer,Ring shaped parts that bend and stretch,Micro-organisms,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their bristles,Castings,"Moles, rats, fish and toads",1/10 its own body weight,,,,,,,,,,,,,2,3,2,5,2,Male,23 to 29,graduated from a 4 year college,"$70,001 to $100,000",Democrat,,The amount of inequality in society is very reasonable.,Yes,,No,A3JFDR56EC72BW,11,0,92120,Vignette-InfoOpportunity,FL_13,tutorial-highrelevance,,1
4/20/2022 9:05,4/20/2022 9:10,IP Address,72.228.149.218,100,271,TRUE,4/20/2022 9:10,R_3hm7XWvlASyLbMV,,,,,42.635,-79.0455,anonymous,ZH-S,I agree,Jim is awarded a bonus of $600 and Bill is awarded a bonus of $0,,,,,,4.273,8.895,48.214,3,4.568,89.632,91.012,17,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,10,10,4,7,10,Male,30 to 39,completed high school,"$100,001 to $130,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A2PSR3CMNR1R9X,15,0,92031,Vignette-MeritOpportunity,FL_13,tutorial-highrelevance,,1
4/20/2022 9:08,4/20/2022 9:10,IP Address,71.81.57.94,100,115,TRUE,4/20/2022 9:10,R_1l3JXPgOvV5laHM,,,,,30.3586,-90.0561,anonymous,ZH-S,I agree,,,,Jim is awarded a bonus of $500 and Bill is awarded a bonus of $100,,,0,0,3.1,0,2.327,24.623,25.137,17,Building tunnels in the soil,Help them grip the ground,Birdfeed,Tiny scales similar to those of a snake,Dirt,More than 20,2 years,To mark their territory,The better part of a year,Through their nose,Cool and dry,Through their bristles,Castings,"Moles, rats, fish and toads",1/10 its own body weight,,,,,,,,,,,,,8,8,6,9,7,Female,40 to 49,graduated from a 4 year college,"$30,001 to $50,000",Republican,,The amount of inequality in society is very reasonable.,Yes,,Yes,A1GYKUR7KGUQYA,5,0,90631,Vignette-RandomEmployment,FL_13,tutorial-highrelevance,,1
4/20/2022 9:01,4/20/2022 9:10,IP Address,68.197.53.186,100,551,TRUE,4/20/2022 9:10,R_2xEjBJsxaIpFCet,,,,,40.918,-73.9619,anonymous,ZH-S,I agree,,,,,At least 80% of managers,,,,,,5.932,136.494,137.956,16,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,60 days,To create walls for the tunnels they dig,A few days at most,Through their skin,Cool and dry,Through their bristles,Earthworm feces,"Moles, rats, fish and toads",1/3 its own body weight,0,0,75.261,0,,,,,,,,,9,7,0,0,8,Female,40 to 49,some graduate school attended or higher,"$70,001 to $100,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A2OJZ0DXEMI0RE,10,0,98951,Vignette-InfoOpportunity,FL_13,tutorial-lowrelevance,,1
4/20/2022 9:02,4/20/2022 9:10,IP Address,24.250.227.114,100,507,TRUE,4/20/2022 9:11,R_1pzkKWaSygMJIMK,,,,,29.1657,-82.1273,anonymous,ZH-S,I agree,,Jim is awarded a bonus of $500 and Bill is awarded a bonus of $100,,,,,11.879,11.879,105.241,1,7.446,125.64,126.644,23,Building tunnels in the soil,Help them sense danger,Insect repellent,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",Twice its own body weight,,,,,,,,,,,,,9,7,2,2,8,Female,50 to 59,"some college education, or 2 year college degree","$30,001 to $50,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,AG707KZT39EZU,12,0,65142,Vignette-RandomOpportunity,FL_14,,test-long,1
4/20/2022 9:03,4/20/2022 9:11,IP Address,70.63.197.100,100,473,TRUE,4/20/2022 9:11,R_3Nz9594OXmDxBGQ,,,,,34.2243,-77.8849,anonymous,ZH-S,I agree,,,Jim is awarded a bonus of $600 and Bill is awarded a bonus of $0,,,,2.634,127.264,128.688,5,14.592,139.779,140.32,20,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,7,7,10,5,10,Male,23 to 29,graduated from a 4 year college,"$50,001 to $70,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A2PPTQXFVA9H38,15,0,57493,Vignette-MeritEmployment,FL_11,,,1
4/20/2022 9:02,4/20/2022 9:11,IP Address,99.91.124.186,100,570,TRUE,4/20/2022 9:11,R_1QMIay7h4l1ccvz,,,,,33.6163,-84.2945,anonymous,ZH-S,I agree,,,Jim is awarded a bonus of $600 and Bill is awarded a bonus of $0,,,,36.045,40.179,109.56,2,3.009,209.369,211.314,18,Building tunnels in the soil,Help them sense danger,Fertilizer,Ring shaped parts that bend and stretch,Small insects,More than 100,60 days,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Rats, fish, hawks and spiders",1/3 its own body weight,,,,,,,,,,,,,10,9,10,10,10,Female,30 to 39,graduated from a 4 year college,"$100,001 to $130,000",Democrat,,The amount of inequality in society is very reasonable.,Yes,,Yes,A3EKGEGG64K3ZL,11,0,21649,Vignette-MeritEmployment,FL_13,tutorial-highrelevance,,1
4/20/2022 9:02,4/20/2022 9:11,IP Address,47.26.213.102,100,552,TRUE,4/20/2022 9:11,R_2dmYi8pZI1Z4HSh,,,,,43.0608,-85.9485,anonymous,ZH-S,I agree,,,Jim is awarded a bonus of $400 and Bill is awarded a bonus of $200,,,,0,0,117.762,0,11.74,142.672,144.523,21,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,2 years,To create walls for the tunnels they dig,The better part of a year,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",Twice its own body weight,,,,,,,,,,,,,7,7,8,7,7,Female,30 to 39,completed high school,"$30,001 to $50,000",Independent,,I feel neutral about the current degree of inequality in society.,Yes,,Yes,A12E6GROJIU3VG,12,0,21293,Vignette-MeritEmployment,FL_12,,,1
4/20/2022 9:02,4/20/2022 9:12,IP Address,207.160.232.251,100,578,TRUE,4/20/2022 9:12,R_aVR6Cs9ReJEzmKZ,,,,,37.2567,-93.2944,anonymous,ZH-S,I agree,,,,,,At least 20% but below 40% of managers,,,,,12.592,146.98,147.67,17,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 20,60 days,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Earthworm feces,"Moles, rats, fish and toads",1/3 its own body weight,0,0,76.204,0,,,,,,,,,10,10,5,7,10,Male,60 to 69,"some college education, or 2 year college degree","$0 to $15,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A2UKCO1M1MEMZW,12,0,46232,Vignette-InfoEmployment,FL_13,tutorial-lowrelevance,,1
4/20/2022 9:09,4/20/2022 9:12,IP Address,107.181.218.82,100,184,TRUE,4/20/2022 9:12,R_2pVGQeDg7S7AB7x,,,,,43.6055,-84.7796,anonymous,ZH-S,I agree,,,,,At least 80% of managers,,2.464,14.972,20.527,2,2.705,57.94,59.037,25,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,2 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",Twice its own body weight,,,,,,,,,,,,,9,10,2,1,8,Female,23 to 29,graduated from a 4 year college,"$30,001 to $50,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A1RKGN3VY39TM1,13,0,46788,Vignette-InfoOpportunity,FL_11,,,1
