startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q_recaptchascore,consent,ready_quiz7,quiz7_1,quiz7_2,quiz7_3,allocation_luck10,allocation_luck00,allocation_luck01,allocation_luck50,allocation_luck90,allocation_luck99,allocation_luck100,ready_quiz8,quiz8_1,quiz8_2,quiz8_3,edu_15v4_belief,edu_15v4_decision,edu_15v0_belief,edu_15v0_decision,edu_15v1_belief,edu_15v1_decision,edu_15v7_belief,edu_15v7_decision,edu_15v11_belief,edu_15v11_decision,edu_15v14_belief,edu_15v14_decision,edu_15v15_belief,edu_15v15_decision,ready_quiz9,quiz9_1,quiz9_2,quiz9_3,emp_15v4_belief,emp_15v4_decision,emp_15v0_belief,emp_15v0_decision,emp_15v1_belief,emp_15v1_decision,emp_15v7_belief,emp_15v7_decision,emp_15v11_belief,emp_15v11_decision,emp_15v14_belief,emp_15v14_decision,emp_15v15_belief,emp_15v15_decision,survey_consideration,q121_4_text,q121_7_text,survey_opinion_educ,survey_opinion_employ,survey_surpassingReasons,male,age,edu,income,party,q129_6_text,attitude,englishNative,q1211_2_text,followup,connectID,participantid,assignmentid,projectid
2023-07-17 22:33:14,2023-07-17 22:40:11,IP Address,68.49.123.254,100,417,True,2023-07-17 22:40:12,R_x5yLEEhN1ogAUsV,,,,,42.7348,-84.6245,anonymous,EN,0.8999999761581421,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,4,Worker A is paid $3 USD and Worker B is paid $3 USD.,0,Worker A is paid $4 USD and Worker B is paid $2 USD.,0,Worker A is paid $4 USD and Worker B is paid $2 USD.,6,Worker A is paid $4 USD and Worker B is paid $2 USD.,7,Worker A is paid $3 USD and Worker B is paid $3 USD.,48,Worker A is paid $3 USD and Worker B is paid $3 USD.,50,Worker A is paid $3 USD and Worker B is paid $3 USD.,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,Worker B studied the tutorial material more carefully (ie. taking more time to read and think about it) than Worker A did.,Female,30 to 39,graduated from a 4 year college,"$70,001 to $100,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,38644703C35546FBAE15C412A8C7F127,38644703C35546FBAE15C412A8C7F127,f05cefb5-978d-4a67-a699-5002a736bd3e,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:32:47,2023-07-17 22:40:14,IP Address,199.107.16.130,100,447,True,2023-07-17 22:40:15,R_1EX8HDJ8mVdiQzA,,,,,33.7485,-84.3871,anonymous,EN,0.8999999761581421,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,10,Worker A is paid $3 USD and Worker B is paid $3 USD.,3,Worker A is paid $3 USD and Worker B is paid $3 USD.,3,Worker A is paid $3 USD and Worker B is paid $3 USD.,12,Worker A is paid $3 USD and Worker B is paid $3 USD.,36,Worker A is paid $4 USD and Worker B is paid $2 USD.,50,Worker A is paid $5 USD and Worker B is paid $1 USD.,50,Worker A is paid $6 USD and Worker B is paid $0 USD.,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Both Worker A and Worker B put a similar amount of effort into reading the tutorial materials.,Both Worker A and Worker B put a similar amount of effort into answering the multiple-choice questions.,,Female,30 to 39,graduated from a 4 year college,"$70,001 to $100,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,19973E47E1E2435EBB5F5196764A6748,19973E47E1E2435EBB5F5196764A6748,bd241949-fef8-4a8a-b86e-fbb821387c29,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:33:05,2023-07-17 22:40:53,IP Address,99.36.20.97,100,467,True,2023-07-17 22:40:54,R_T0fTIQRtn0w4i4x,,,,,34.0747,-84.5953,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $4 USD and Worker B is paid $2 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,,Female,30 to 39,completed high school,"$0 to $15,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,270FF7BE3A724926B2707F8C5E73C687,270FF7BE3A724926B2707F8C5E73C687,d1c30af6-0fff-460a-a1d2-472fbfeaedbd,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:32:44,2023-07-17 22:41:01,IP Address,99.76.60.39,100,497,True,2023-07-17 22:41:02,R_24kPxW36WmncObT,,,,,33.5619,-84.4319,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $5 USD and Worker B is paid $1 USD.,Worker A is paid $5 USD and Worker B is paid $1 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Worker A put more effort than Worker B into reading the tutorial materials.,Worker A put more effort than Worker B into answering the multiple-choice questions,,Female,40 to 49,completed high school,"$30,001 to $50,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,73703FB3C970438997F8E65B4BC51687,73703FB3C970438997F8E65B4BC51687,b60247f1-5208-4115-a4fb-3f8bd343ab2d,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:34:37,2023-07-17 22:41:03,IP Address,65.17.186.122,100,385,True,2023-07-17 22:41:03,R_xxsUh6LCu8UUNmF,,,,,36.4729,-82.8323,anonymous,EN,0.8999999761581421,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AD65285029BC43AC998921DE8C272594,4d519d08-aa62-4b75-a98a-05be0131e698,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:33:03,2023-07-17 22:41:04,IP Address,73.211.76.140,100,481,True,2023-07-17 22:41:05,R_elLDXb3K0V5N3MJ,,,,,41.8482,-87.6521,anonymous,EN,0.8999999761581421,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,5,Worker A is paid $4 USD and Worker B is paid $2 USD.,0,Worker A is paid $4 USD and Worker B is paid $2 USD.,1,Worker A is paid $4 USD and Worker B is paid $2 USD.,15,Worker A is paid $4 USD and Worker B is paid $2 USD.,30,Worker A is paid $4 USD and Worker B is paid $2 USD.,45,Worker A is paid $5 USD and Worker B is paid $1 USD.,50,Worker A is paid $6 USD and Worker B is paid $0 USD.,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,Worker B studied the tutorial material more carefully (ie. taking more time to read and think about it) than Worker A did.,Male,50 to 59,some graduate school attended or higher,"$50,001 to $70,000",Libertarian,,The amount of inequality in society is moderately reasonable.,Yes,,Yes,E0C738F22DFD4123B5CBA845211CC366,E0C738F22DFD4123B5CBA845211CC366,4d4c8844-65e4-41d3-9c06-1bb22d2d60b0,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:32:27,2023-07-17 22:41:05,IP Address,162.211.36.58,100,518,True,2023-07-17 22:41:06,R_1Oy0rlkzcNj0nxZ,,,,,40.8771,-85.5045,anonymous,EN,0.8999999761581421,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,30,Worker A is paid $4 USD and Worker B is paid $2 USD.,6,Worker A is paid $3 USD and Worker B is paid $3 USD.,10,Worker A is paid $3 USD and Worker B is paid $3 USD.,29,Worker A is paid $3 USD and Worker B is paid $3 USD.,34,Worker A is paid $3 USD and Worker B is paid $3 USD.,70,Worker A is paid $3 USD and Worker B is paid $3 USD.,50,Worker A is paid $6 USD and Worker B is paid $0 USD.,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Both Worker A and Worker B put a similar amount of effort into reading the tutorial materials.,Both Worker A and Worker B put a similar amount of effort into answering the multiple-choice questions.,,Female,23 to 29,"some college education, or 2 year college degree","$70,001 to $100,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,D6BE20A4C7304788A423C15148228856,D6BE20A4C7304788A423C15148228856,60149e2f-249e-4094-9fb0-5b80dd6d2699,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:34:10,2023-07-17 22:41:47,IP Address,68.131.46.215,100,456,True,2023-07-17 22:41:47,R_2dhXBQ6S6JNN0CM,,,,,36.8282,-76.0237,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,,Worker A is paid $4 USD and Worker B is paid $2 USD.,0,Worker A is paid $6 USD and Worker B is paid $0 USD.,3,Worker A is paid $5 USD and Worker B is paid $1 USD.,20,Worker A is paid $4 USD and Worker B is paid $2 USD.,25,Worker A is paid $4 USD and Worker B is paid $2 USD.,35,Worker A is paid $3 USD and Worker B is paid $3 USD.,50,Worker A is paid $3 USD and Worker B is paid $3 USD.,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,"Worker B answered their 11 questions very carefully, while Worker A was not so careful when answering their 15 multiple-choice questions.",Female,23 to 29,"some college education, or 2 year college degree","$30,001 to $50,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,C125E20118404C5F826FA62F5371B01F,C125E20118404C5F826FA62F5371B01F,3235f23e-1ac0-45d7-a04a-a1688bc21cde,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:34:09,2023-07-17 22:41:49,IP Address,216.138.34.231,100,459,True,2023-07-17 22:41:50,R_24uxRKne9Cjlr19,,,,,39.9311,-91.3761,anonymous,EN,1,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,11,Worker A is paid $3 USD and Worker B is paid $3 USD.,2,Worker A is paid $4 USD and Worker B is paid $2 USD.,1,Worker A is paid $3 USD and Worker B is paid $3 USD.,24,Worker A is paid $3 USD and Worker B is paid $3 USD.,46,Worker A is paid $3 USD and Worker B is paid $3 USD.,50,Worker A is paid $3 USD and Worker B is paid $3 USD.,96,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers as well as myself.",,,Both Worker A and Worker B put a similar amount of effort into reading the tutorial materials.,Both Worker A and Worker B put a similar amount of effort into answering the multiple-choice questions.,,Female,50 to 59,completed high school,"$50,001 to $70,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,0B454216618D4D1884D71951544E9AA5,0B454216618D4D1884D71951544E9AA5,aa8f94ba-bdc7-47ea-b406-db74a88ca724,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:33:03,2023-07-17 22:42:07,IP Address,47.204.248.172,100,543,True,2023-07-17 22:42:08,R_3qg79d1DoqogZez,,,,,28.1451,-82.5132,anonymous,EN,1,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,,Worker A is paid $3 USD and Worker B is paid $3 USD.,88,Worker A is paid $3 USD and Worker B is paid $3 USD.,89,Worker A is paid $3 USD and Worker B is paid $3 USD.,73,Worker A is paid $3 USD and Worker B is paid $3 USD.,59,Worker A is paid $3 USD and Worker B is paid $3 USD.,51,Worker A is paid $3 USD and Worker B is paid $3 USD.,50,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers as well as myself.",,,Both Worker A and Worker B put a similar amount of effort into reading the tutorial materials.,Both Worker A and Worker B put a similar amount of effort into answering the multiple-choice questions.,,Male,40 to 49,graduated from a 4 year college,"$50,001 to $70,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,6EE52562390F4564BA965E2054A24FD5,6EE52562390F4564BA965E2054A24FD5,fe1c6508-472d-46de-9a5e-1e9cbdc491a9,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:34:23,2023-07-17 22:43:32,IP Address,68.199.206.158,100,548,True,2023-07-17 22:43:32,R_reYU8Ia9L0HxTEd,,,,,40.912,-74.554,anonymous,EN,1,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,26,Worker A is paid $5 USD and Worker B is paid $1 USD.,30,Worker A is paid $5 USD and Worker B is paid $1 USD.,7,Worker A is paid $6 USD and Worker B is paid $0 USD.,26,Worker A is paid $4 USD and Worker B is paid $2 USD.,31,Worker A is paid $3 USD and Worker B is paid $3 USD.,27,Worker A is paid $2 USD and Worker B is paid $4 USD.,29,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,"Generally, I tended not to  redistribute because I believe it is not my place to change the allocation of payments between the two workers.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Both Worker A and Worker B put a similar amount of effort into answering the multiple-choice questions.,,Female,40 to 49,some graduate school attended or higher,"$0 to $15,000",Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,3121B2F95F9742E5B8BF4F8EB5415C99,3121B2F95F9742E5B8BF4F8EB5415C99,a5017dd9-f338-43d3-bd13-260d7cea13c8,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:38:58,2023-07-17 22:43:59,IP Address,167.88.61.28,100,300,True,2023-07-17 22:44:00,R_2CfY6xF7Mz5wbxG,,,,,37.353,-121.9543,anonymous,EN,0.8999999761581421,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C814A4CB422E4A38AA99D0C517F16667,da140d5c-3ac9-4d55-83d4-0beaa23210d7,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:33:28,2023-07-17 22:44:46,IP Address,47.217.132.72,100,677,True,2023-07-17 22:44:47,R_3GEg2UXhJby6wMX,,,,,35.7445,-95.3451,anonymous,EN,0.8999999761581421,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid $6 USD and Worker B is paid $0 USD.,Worker A is paid $6 USD and Worker B is paid $0 USD.,Worker A is paid $6 USD and Worker B is paid $0 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,,Male,40 to 49,completed high school,"$0 to $15,000",Democrat,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,9404FA0A816C42A8A1E9DD4FD0AD497C,9404FA0A816C42A8A1E9DD4FD0AD497C,8215de6c-b5d5-47fe-b49e-879a9991766b,27d9e8d6-d188-48dd-ab79-64e3ff38c611
